"원시순위","코드","종목","시장","유니버스","가격","DART","실적지표수","공시일","컴플라이언스","랭킹상태","랭킹","점수","주요 사유"
"36","009150","삼성전기","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","10","0.8063985917639885","가격·DART·컴플라이언스 조건 모두 통과"
"37","034730","SK","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","6","0.8459605260072229","가격·DART·컴플라이언스 조건 모두 통과"
"38","0126Z0","삼성에피스홀딩스","KOSPI","제외","미평가","미평가","","","미평가","미랭킹","","","유효한 6자리 종목코드가 아님"
"39","096770","SK이노베이션","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","69","0.6052038190047371","가격·DART·컴플라이언스 조건 모두 통과"
"40","033780","KT&G","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","59","0.6244641726466864","가격·DART·컴플라이언스 조건 모두 통과"
"41","024110","기업은행","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"42","003670","포스코퓨처엠","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","150","0.37059331175836036","가격·DART·컴플라이언스 조건 모두 통과"
"43","298040","효성중공업","KOSPI","통과","가용","가용","3","2026-05-14","통과","랭킹 가능","52","0.6390882228788518","가격·DART·컴플라이언스 조건 모두 통과"
"44","066570","LG전자","KOSPI","통과","가용","가용","4","2026-07-06","통과","랭킹 가능","51","0.6392085561183809","가격·DART·컴플라이언스 조건 모두 통과"
"45","267250","HD현대","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","62","0.6200042798180198","가격·DART·컴플라이언스 조건 모두 통과"
"46","247540","에코프로비엠","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","162","0.3363046409643075","가격·DART·컴플라이언스 조건 모두 통과"
"47","352820","하이브","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","187","0.25810064021387363","가격·DART·컴플라이언스 조건 모두 통과"
"48","010120","LS ELECTRIC","KOSPI","통과","가용","가용","3","2026-05-14","통과","랭킹 가능","19","0.7494449916357895","가격·DART·컴플라이언스 조건 모두 통과"
"49","086280","현대글로비스","KOSPI","통과","가용","불충분","1","2026-05-15","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"50","018260","삼성에스디에스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","133","0.42709277238403454","가격·DART·컴플라이언스 조건 모두 통과"
"51","030200","KT","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","134","0.42709162914497445","가격·DART·컴플라이언스 조건 모두 통과"
"52","006800","미래에셋증권","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","17","0.7547509790816566","가격·DART·컴플라이언스 조건 모두 통과"
